# VBA tblplayerresult data
# Paste data below:

PlayerResultID	MatchNo	FrameNo	PlayerID	Played	Result	EightBall	OppRating	PlayerRating	WeekNo
451	16	1	67	111	-1	0	1000	1250	3
452	16	1	111	67	0	0	1189	892	3
453	16	2	19	39	-1	0	1010	1262	3
454	16	2	39	19	0	0	1030	772	3
455	16	3	22	46	-1	0	1040	1300	3
456	16	3	46	22	0	0	950	712	3
457	16	4	21	60	0	0	1144	858	3
458	16	4	60	21	-1	0	908	1135	3
459	16	5	0	0	0	0	1021	766	3
460	16	5	0	0	-1	0	1021	1276	3
461	16	6	67	72	-1	0	1077	1346	3
462	16	6	72	67	0	0	1189	892	3
463	16	7	19	46	0	0	1040	780	3
464	16	7	46	19	-1	0	1030	1288	3
465	16	8	22	72	0	0	1077	808	3
466	16	8	72	22	-1	0	950	1188	3
467	16	9	21	39	0	0	1010	758	3
468	16	9	39	21	-1	0	908	1135	3
469	16	10	0	0	0	0	1021	766	3
470	16	10	0	0	-1	0	1021	1276	3
471	16	11	22	60	-1	0	1144	1430	3
472	16	11	60	22	0	0	950	712	3
473	16	12	19	72	0	0	1077	808	3
474	16	12	72	19	-1	0	1030	1288	3
475	16	13	67	46	-1	0	1040	1300	3
476	16	13	46	67	0	0	1189	892	3
477	16	14	21	111	-1	0	1000	1250	3
478	16	14	111	21	0	0	908	681	3
479	16	15	0	0	0	0	1021	766	3
480	16	15	0	0	-1	0	1021	1276	3
481	17	1	78	49	-1	0	1048	1310	3
482	17	1	49	78	0	0	918	688	3
483	17	2	86	42	-1	0	953	1191	3
484	17	2	42	86	0	0	1187	890	3
485	17	3	87	51	0	0	1038	778	3
486	17	3	51	87	-1	0	743	929	3
487	17	4	85	41	0	0	1285	964	3
488	17	4	41	85	-1	0	1076	1345	3
489	17	5	81	40	-1	0	1038	1298	3
490	17	5	40	81	0	0	1090	818	3
491	17	6	77	49	0	0	1048	786	3
492	17	6	49	77	-1	0	809	1011	3
493	17	7	78	42	-1	0	953	1191	3
494	17	7	42	78	0	0	918	688	3
495	17	8	86	51	0	0	1038	778	3
496	17	8	51	86	-1	0	1187	1484	3
497	17	9	87	41	-1	0	1285	1606	3
498	17	9	41	87	0	0	743	557	3
499	17	10	85	40	-1	0	1038	1298	3
500	17	10	40	85	0	0	1076	807	3
501	17	11	78	41	0	0	1285	964	3
502	17	11	41	78	-1	0	918	1148	3
503	17	12	86	49	0	0	1048	786	3
504	17	12	49	86	-1	0	1187	1484	3
505	17	13	77	42	0	0	953	715	3
506	17	13	42	77	-1	0	809	1011	3
507	17	14	81	51	0	0	1038	778	3
508	17	14	51	81	-1	0	1090	1362	3
509	17	15	87	40	-1	0	1038	1298	3
510	17	15	40	87	0	0	743	557	3
511	18	1	7	113	-1	0	1000	1250	3
512	18	1	113	7	0	0	1126	844	3
513	18	2	6	102	-1	0	900	1125	3
514	18	2	102	6	0	0	1114	836	3
515	18	3	9	112	-1	0	1000	1250	3
516	18	3	112	9	0	0	1039	779	3
517	18	4	8	10	0	0	924	693	3
518	18	4	10	8	-1	0	1000	1250	3
519	18	5	61	113	-1	0	1000	1250	3
520	18	5	113	61	0	0	1134	850	3
521	18	6	6	10	-1	0	924	1155	3
522	18	6	10	6	0	0	1114	836	3
523	18	7	7	112	-1	0	1000	1250	3
524	18	7	112	7	0	0	1126	844	3
525	18	8	9	102	-1	0	900	1125	3
526	18	8	102	9	0	0	1039	779	3
527	18	9	8	113	-1	0	1000	1250	3
528	18	9	113	8	0	0	1000	750	3
